id;numero_cycle;date_debut;date_fin;statut_cycle;commentaire;client_id
1;31638;2025-10-17T03:24:32;2025-10-16T15:17:42;incognito;../fake-data/blob/hipster.txt;1
2;14784;2025-10-17T00:28:46;2025-10-16T12:00:22;certainement quelque;../fake-data/blob/hipster.txt;2
3;3789;2025-10-16T20:29:56;2025-10-16T12:42:18;dans la mesure où crac d'après;../fake-data/blob/hipster.txt;3
4;20823;2025-10-16T18:06:20;2025-10-17T08:53:05;arrière;../fake-data/blob/hipster.txt;4
5;15932;2025-10-17T04:57:43;2025-10-16T18:04:52;piquer porte-parole diététiste;../fake-data/blob/hipster.txt;5
6;21021;2025-10-16T17:07:30;2025-10-16T09:54:38;ouille cadre épanouir;../fake-data/blob/hipster.txt;6
7;30210;2025-10-17T08:04:32;2025-10-16T16:47:20;porte-parole adorable;../fake-data/blob/hipster.txt;7
8;15527;2025-10-17T05:13:22;2025-10-16T17:06:08;ha ha;../fake-data/blob/hipster.txt;8
9;18728;2025-10-16T12:10:47;2025-10-17T03:59:34;procéder;../fake-data/blob/hipster.txt;9
10;23879;2025-10-17T08:13:06;2025-10-16T09:38:52;soit pin-pon collègue;../fake-data/blob/hipster.txt;10
