id;code;nom_complet;symbole;pays
1;assurément hypocrite groin groin;détacher;psitt;de crainte que
2;tant que restreindre sédentaire;grâce à là-haut;bè;en gigantesque
3;extra même;zzzz;trop;serviable
4;au point que dans rectangulaire;boum;charitable;pff corps enseignant regagner
5;guide tandis que à la merci;même si hi;réchauffer;en decà de
6;hors de glouglou;par suite de à l'égard de;parce que;rectorat entre tant
7;à défaut de à partir de;cocorico bang svelte;vivace parlementaire croâ;vroum
8;oh;soit;lors apte étant donné que;maigre étant donné que
9;admettre bè;comme responsable atchoum;grrr orange rejeter;puis concurrence autrefois
10;oh fourbe;à l'entour de y;plic bof;porte-parole équipe de recherche délégation
