id;etat;date_etat;agent;observation;cycle_id
1;PAS_INTERESSE;2025-10-16T09:39:13;de façon à communauté étudiante;../fake-data/blob/hipster.txt;1
2;NUMERO_ERRONE;2025-10-17T01:33:22;placer ouf;../fake-data/blob/hipster.txt;2
3;NUMERO_ERRONE;2025-10-17T05:30:29;jeune enfant penser tant;../fake-data/blob/hipster.txt;3
4;PAS_INTERESSE;2025-10-17T07:34:38;affable tant prévoir;../fake-data/blob/hipster.txt;4
5;PAS_DE_REPONSE;2025-10-16T13:29:19;via pour administration;../fake-data/blob/hipster.txt;5
6;PAS_PRET;2025-10-16T14:09:24;ouille;../fake-data/blob/hipster.txt;6
7;FAIBLE_QUALITE;2025-10-17T06:55:18;blablabla sale;../fake-data/blob/hipster.txt;7
8;EN_COURS;2025-10-16T22:20:33;inciter;../fake-data/blob/hipster.txt;8
9;DOUBLE_CODAGE;2025-10-16T12:12:46;foule;../fake-data/blob/hipster.txt;9
10;PAS_INTERESSE;2025-10-17T06:04:33;quand;../fake-data/blob/hipster.txt;10
