id;date_interaction;canal;agent;resume;etat;observation
1;2025-10-05T16:03:52;craquer bzzz;remplacer si bien que drelin;../fake-data/blob/hipster.txt;pour que;lever
2;2025-10-05T11:43:48;ça minuscule;mairie retracer;../fake-data/blob/hipster.txt;euh bon en outre de;afficher dring dans
3;2025-10-05T04:48:56;correspondre laver touchant;désagréable dring;../fake-data/blob/hipster.txt;de manière à ce que;afin que parlementaire fade
4;2025-10-05T10:27:54;de façon que ding;administration souple euh;../fake-data/blob/hipster.txt;diététiste;maigre vouh
5;2025-10-05T11:04:51;boum;restreindre effondrer hôte;../fake-data/blob/hipster.txt;entre-temps sous croâ;auprès de actionnaire
6;2025-10-05T19:44:01;snob croître;outre;../fake-data/blob/hipster.txt;tranquille hé;en face de à l'instar de apte
7;2025-10-05T02:42:13;charitable;rose;../fake-data/blob/hipster.txt;ainsi direction altruiste;pour
8;2025-10-05T18:32:37;triathlète de peur de;magenta autour de jusqu’à ce que;../fake-data/blob/hipster.txt;ding partout;dire concurrence a
9;2025-10-05T09:02:06;drelin antagoniste;neutre hypocrite communauté étudiante;../fake-data/blob/hipster.txt;au cas où;hé quitte à crever
10;2025-10-05T13:12:30;pour police antique;communauté étudiante;../fake-data/blob/hipster.txt;quasi vlan;antagoniste adversaire en dedans de
