id;score_staff;comportements;remarques;completude_kyc;responsable
1;9287;y blablabla;guide;6129;de façon que collègue
2;16762;rédaction mince tandis que;suivant lutter;9029;apprivoiser sans que jeune enfant
3;18183;sous;pendant que;25015;dès que vouh avex
4;14324;abriter;dispenser pendant insuffisamment;1826;adorable jeune
5;26126;corps enseignant collègue;cyan;29212;hôte
6;32720;équipe de recherche gai;malgré;7752;près prout soit
7;22912;de sorte que;rédaction quoique bien que;28508;si bien que lunatique après-demain
8;30398;autant ensuite en face de;après saluer aggraver;14780;cocorico
9;22163;ha ha environ atchoum;foule;23100;approximativement ding hi
10;31108;sédentaire;en vérité après que en bas de;6140;adversaire membre à vie
