id;title;description;amount;stage;close_date;created_at;updated_at;assigned_to_id;client_id
1;sans que maintenant à peine;d'abord honorer mal;22260.95;LOST;2025-09-22T18:40:34;2025-09-22T07:39:45;2025-09-22T17:22:14;1;1
2;raide espiègle bientôt;biathlète;14818.05;WON;2025-09-22T06:04:20;2025-09-22T06:35:47;2025-09-22T00:34:43;2;2
3;ouf;atchoum gestionnaire à cause de;5523.25;LOST;2025-09-21T20:57:04;2025-09-22T01:50:04;2025-09-22T17:52:30;3;3
4;bien que mature;groin groin insuffisamment;11779.42;WON;2025-09-22T07:20:01;2025-09-21T22:26:00;2025-09-21T23:50:33;4;4
5;grrr dans quand;sitôt que au moyen de tandis que;32463.34;NEGOTIATION;2025-09-22T20:33:43;2025-09-22T20:21:53;2025-09-22T18:53:35;5;5
6;actionnaire;revoir;22865.07;WON;2025-09-22T12:17:19;2025-09-22T04:10:05;2025-09-22T06:22:04;6;6
7;servir;désigner de crainte que;28199.99;WON;2025-09-22T03:36:49;2025-09-22T10:58:06;2025-09-21T23:56:21;7;7
8;de façon que suffisamment athlète;avant que;16919.09;LOST;2025-09-22T11:37:43;2025-09-21T21:44:31;2025-09-22T04:38:05;8;8
9;infiniment;insolite personnel professionnel;11189.05;NEGOTIATION;2025-09-22T15:14:57;2025-09-22T02:56:21;2025-09-22T05:06:47;9;9
10;tant nonobstant;toutefois;2784.09;WON;2025-09-21T21:43:50;2025-09-22T17:52:31;2025-09-22T05:38:22;10;10
