id;type_produit;nom_produit;description;quantite;unite;prix;poids_kg;volume_total_cbm;dimensions;hs_code;prix_cible;frais_expedition;origine;fournisseur;adresse_chargement;adresse_dechargement;fiche_technique_url;photos_url;pieces_jointes_url
1;PRODUIT_FINAL;subito dépasser;../fake-data/blob/hipster.txt;26207.18;triompher nonobstant étant donné que;6191.52;18067.05;26097.18;nonobstant jeune sitôt que;consulter tôt payer;445.17;8955.23;cuicui;déjà prévenir miam;négocier jamais;afin de;gestionnaire toc-toc divinement;turquoise à partir de;convertir
2;AUTRE;cuicui sauf;../fake-data/blob/hipster.txt;21653.68;au point que quand;2830.05;8630.36;8365.77;délectable;occuper;8663.48;24177.05;chef de cuisine propre totalement;rudement quoique;de crainte que apte miaou;solitaire à seule fin de;avant de miam personnel;vaste;trancher dès que
3;AUTRE;de peur que grâce à égoïste;../fake-data/blob/hipster.txt;27631.93;sauf à joliment;4505.6;25959.49;29997.12;trop pourvu que;téméraire;21576.21;30670.17;membre à vie garantir;ensuite rédaction susciter;inviter;quant à;gestionnaire;au cas où aspirer hé;apte
4;AUTRE;dense exploser;../fake-data/blob/hipster.txt;17222.67;diplomate ressentir devant;9393.3;3988.1;31222.65;ménager;secouriste sitôt que;24063.35;4000.1;bang;cadre puisque fade;extra;vroum foule;de façon à ce que au moyen de;autrement;hirsute lentement
5;PRODUIT_FINAL;en decà de prou;../fake-data/blob/hipster.txt;1327.58;devant crac;6633.44;30396.29;11836.52;appartenir;de peur de alors;17928.48;19571.88;adepte toc-toc aux alentours de;commis de cuisine;trop peu population du Québec ouch;quoique;imiter dévoiler;foule délégation;à force de boulanger
6;VEHICULE;dès que transformer;../fake-data/blob/hipster.txt;1279.18;membre du personnel extrêmement;4082.84;31152.96;30551.5;svelte maigre grandement;chef clac contenter;10326.7;31559.26;à condition que antagoniste;ouah même si de manière à;agréable;très tisser;comme ressentir;d'avec;chef de cuisine
7;VEHICULE;athlète si bien que chef;../fake-data/blob/hipster.txt;14824.04;drelin vite;30922.98;8606.62;19495.64;clientèle si bien que;de sorte que contenir;26619.72;7483.94;loin de biathlète;défaire;chef de cuisine;vite mélancolique turquoise;juriste;biathlète si bien que;toc-toc
8;AUTRE;ouin pour que;../fake-data/blob/hipster.txt;14628.32;euh;25435.42;6301.05;4244.4;ronron comment afin que;vroum aussitôt équipe;31893.97;28617.69;multiple afin de badaboum;parfois franco;ah collègue puisque;zzzz dessus;au point que promener au lieu de;pacifique;clocher
9;PRODUIT_FINAL;rouler certainement dîner;../fake-data/blob/hipster.txt;23444.76;circulaire;6755.14;7888.24;15243.59;du fait que alors que;de la part de;17649.51;32352.47;vaste de manière à ce que;quoique alors que équipe;vaste chef de cuisine conseil municipal;conseil d’administration affable taper;magnifique quelque bien que;à l'instar de avare parce que;de façon à ce que triste vers
10;AUTRE;secouriste pff;../fake-data/blob/hipster.txt;10206.98;rouler loin de émérite;19842.77;16077.89;2082.84;près exclure;hôte;18147.62;16787.33;vu que quand;terriblement dessus;ouin;ensuite tchou tchouu hôte;drelin foule;outre;considérable
