id;rappel_date;rappel_message;statut_rappel;created_at;updated_at
1;2025-10-16T11:03:15;passablement svelte;PENDING;2025-10-16T16:07:59;2025-10-17T08:03:59
2;2025-10-16T18:00:17;sauf inventer;PENDING;2025-10-16T10:51:13;2025-10-16T13:01:56
3;2025-10-17T00:48:48;tard;PENDING;2025-10-16T11:06:10;2025-10-16T15:01:46
4;2025-10-17T03:12:23;pourvu que confirmer;PENDING;2025-10-17T07:05:36;2025-10-16T11:43:37
5;2025-10-16T17:40:58;paf lâche corriger;MISSED;2025-10-17T01:27:33;2025-10-16T21:31:46
6;2025-10-17T02:19:57;areu areu;PENDING;2025-10-16T16:53:36;2025-10-16T20:52:27
7;2025-10-16T21:14:05;enterrer;MISSED;2025-10-17T08:15:57;2025-10-17T06:00:56
8;2025-10-16T16:10:49;coupable touriste;MISSED;2025-10-16T16:06:16;2025-10-17T04:23:23
9;2025-10-16T21:40:07;au point que aussitôt pour que;MISSED;2025-10-17T07:59:24;2025-10-17T07:32:14
10;2025-10-16T22:15:05;bien que concernant;MISSED;2025-10-16T18:33:21;2025-10-16T18:59:18
