id;raison_sociale;forme_juridique;ice;rc;nif;secteur_activite;taille_entreprise;adresse_siege;representant_legal
1;personnel professionnel dans la mesure où;smack construire attaquer;de façon à ce que si bien que ouch;au-dehors;rudement en decà de buter;sans doute;biathlète;tout à fait;derrière
2;proche;contre pendant;au-dessus vaste découvrir;avex;ouah quitte à entièrement;personnel à la faveur de;tant que;secours de crainte que super;maigre
3;parce que;guère dans la mesure où;mairie de façon à équipe;commissionnaire tic-tac;groin groin infiniment;sitôt que;sur;à cause de;jadis après que
4;pressentir gâcher;collègue;recta bang personnel;jeune enfant comme;hi rédaction;antagoniste vu que;antagoniste d'avec;foule incalculable tard;vers
5;areu areu;joliment;pauvre;population du Québec;actionnaire même si ça;engloutir;intervenir;chez en dépit de sage;boum éloigner hypocrite
6;tic-tac;en dehors de énergique sympathique;engloutir siffler chialer;cuicui épargner membre à vie;terriblement tellement ouf;bè au-dehors gratter;au-delà;bang pour que avaler;gai désagréable espiègle
7;lâche alors que;crac infime;alentour;rendre novice admettre;depuis en;à peu près raide biathlète;puis en vérité;multiple tant miaou;de manière à ce que délégation
8;cot cot;autoriser;amorphe passer;énergique;rectorat;mairie;équipe de recherche sage;si bien que;loger céans
9;adversaire;passer cyan;atchoum invoquer actionnaire;derechef à l'instar de procéder;décrire détourner approximativement;tard;avant-hier hypocrite;sursauter;spécialiste
10;infiniment hi émerger;surprendre;écraser;rapide sitôt que;dynamique accepter au cas où;rectangulaire malgré;au cas où derechef;entre antagoniste psitt;en dedans de en faveur de rapide
